,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Luol Deng,36.0,3,15,1,7,2,2,3,6,2,2,0,2,1,9,great britain,2012-08-04,australia,2012080419,Group B,L
1,Nathan Reinking,28.0,4,11,1,4,0,0,1,3,1,0,0,2,3,9,great britain,2012-08-04,australia,2012080419,Group B,L
2,Joel Freeland,26.0,5,14,1,2,5,6,3,7,1,2,1,2,3,16,great britain,2012-08-04,australia,2012080419,Group B,L
3,Andrew Sullivan,25.0,4,7,0,1,0,0,2,2,2,0,0,2,1,8,great britain,2012-08-04,australia,2012080419,Group B,L
4,Pops Mensah Bonsu,24.0,4,7,0,0,0,0,2,4,3,1,0,4,3,8,great britain,2012-08-04,australia,2012080419,Group B,L
5,Andrew Lawrence,20.0,2,5,0,1,1,1,0,0,2,0,0,1,4,5,great britain,2012-08-04,australia,2012080419,Group B,L
6,Daniel Clark,15.0,5,7,4,6,0,0,0,2,0,0,0,1,1,14,great britain,2012-08-04,australia,2012080419,Group B,L
7,Robert Archibald,15.0,1,1,0,0,0,0,0,1,4,1,0,1,3,2,great britain,2012-08-04,australia,2012080419,Group B,L
8,Eric Boateng,4.0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,great britain,2012-08-04,australia,2012080419,Group B,L
9,Kyle Johnson,4.0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,great britain,2012-08-04,australia,2012080419,Group B,L
10,Kieron Achara,4.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,great britain,2012-08-04,australia,2012080419,Group B,L
11,Totals,,30,71,7,21,8,9,13,27,15,6,1,15,20,75,great britain,2012-08-04,australia,2012080419,Group B,L
0,Joe Ingles,32.0,5,12,1,5,0,0,1,2,4,1,0,1,1,11,australia,2012-08-04,great britain,2012080419,Group B,L
1,Patty Mills,30.0,14,22,5,7,6,6,4,5,2,1,0,4,0,39,australia,2012-08-04,great britain,2012080419,Group B,L
2,Matthew Dellavedova,27.0,3,6,3,5,0,0,0,3,3,0,0,3,2,9,australia,2012-08-04,great britain,2012080419,Group B,L
3,David Andersen,25.0,6,11,1,2,0,0,0,5,0,0,1,0,4,13,australia,2012-08-04,great britain,2012080419,Group B,L
4,Matt Nielsen,21.0,1,1,0,0,1,2,1,4,1,1,0,0,0,3,australia,2012-08-04,great britain,2012080419,Group B,L
5,Brad Newley,19.0,2,5,0,2,4,4,0,8,4,2,2,2,2,8,australia,2012-08-04,great britain,2012080419,Group B,L
6,Aron Baynes,17.0,5,6,0,0,0,0,3,4,0,0,0,1,4,10,australia,2012-08-04,great britain,2012080419,Group B,L
7,Aleks Maric,11.0,0,1,0,0,2,2,2,3,0,0,0,0,3,2,australia,2012-08-04,great britain,2012080419,Group B,L
8,Mark Worthington,11.0,1,2,1,1,0,0,1,2,0,0,0,0,0,3,australia,2012-08-04,great britain,2012080419,Group B,L
9,David Barlow,3.0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,australia,2012-08-04,great britain,2012080419,Group B,L
10,Adam Gibson,3.0,2,3,2,2,0,0,0,0,0,0,0,0,0,6,australia,2012-08-04,great britain,2012080419,Group B,L
11,Peter Crawford,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,australia,2012-08-04,great britain,2012080419,Group B,L
12,Totals,,40,70,13,24,13,14,12,36,16,5,3,11,17,106,australia,2012-08-04,great britain,2012080419,Group B,L
