,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,LeBron James,35.0,9,14,1,4,1,2,2,5,0,3,1,2,2,20,united states,2012-08-04,lithuania,2012080422,Group A,W
1,Chris Paul,28.0,3,9,1,4,0,0,2,7,6,4,0,3,2,7,united states,2012-08-04,lithuania,2012080422,Group A,W
2,Kevin Durant,28.0,5,12,4,7,2,2,0,4,2,2,0,0,2,16,united states,2012-08-04,lithuania,2012080422,Group A,W
3,Carmelo Anthony,24.0,7,13,2,6,4,4,2,3,2,1,0,1,3,20,united states,2012-08-04,lithuania,2012080422,Group A,W
4,Deron Williams,23.0,4,12,2,6,2,4,0,1,2,2,0,2,3,12,united states,2012-08-04,lithuania,2012080422,Group A,W
5,Kobe Bryant,20.0,1,7,0,3,4,5,1,2,1,2,0,1,3,6,united states,2012-08-04,lithuania,2012080422,Group A,W
6,Russell Westbrook,14.0,3,7,0,1,1,1,1,2,0,1,0,0,2,7,united states,2012-08-04,lithuania,2012080422,Group A,W
7,Kevin Love,12.0,2,3,0,1,3,8,4,8,0,0,0,0,1,7,united states,2012-08-04,lithuania,2012080422,Group A,W
8,Tyson Chandler,8.0,0,0,0,0,1,4,1,1,0,1,1,0,1,1,united states,2012-08-04,lithuania,2012080422,Group A,W
9,James Harden,4.0,1,2,0,1,1,1,0,1,0,1,0,0,0,3,united states,2012-08-04,lithuania,2012080422,Group A,W
10,Andre Iguodala,3.0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,united states,2012-08-04,lithuania,2012080422,Group A,W
11,Totals,,35,79,10,33,19,31,13,35,13,17,2,9,22,99,united states,2012-08-04,lithuania,2012080422,Group A,W
0,Linas Kleiza,30.0,10,20,2,6,3,4,0,5,3,0,0,1,3,25,lithuania,2012-08-04,united states,2012080422,Group A,L
1,Martynas Pocius,30.0,6,13,1,4,1,1,0,7,6,0,0,1,4,14,lithuania,2012-08-04,united states,2012080422,Group A,L
2,Simas Jasaitis,29.0,2,3,1,2,0,0,1,6,1,0,0,2,3,5,lithuania,2012-08-04,united states,2012080422,Group A,L
3,Sarunas Jasikevicius,24.0,3,4,2,2,0,0,0,1,6,1,0,6,3,8,lithuania,2012-08-04,united states,2012080422,Group A,L
4,Mantas Kalnietis,22.0,1,3,0,1,0,0,1,3,3,0,0,7,3,2,lithuania,2012-08-04,united states,2012080422,Group A,L
5,Darius Songaila,17.0,5,6,0,0,1,2,1,3,2,1,0,0,4,11,lithuania,2012-08-04,united states,2012080422,Group A,L
6,Paulius Jankunas,16.0,4,5,0,0,1,1,0,3,0,0,1,0,2,9,lithuania,2012-08-04,united states,2012080422,Group A,L
7,Renaldas Seibutis,12.0,2,3,1,1,3,4,1,1,0,1,0,0,2,8,lithuania,2012-08-04,united states,2012080422,Group A,L
8,Jonas Valanciunas,9.0,2,4,0,0,0,1,0,1,0,0,0,2,2,4,lithuania,2012-08-04,united states,2012080422,Group A,L
9,Antanas Kavaliauskas,8.0,3,3,0,0,0,0,1,3,0,0,0,3,1,6,lithuania,2012-08-04,united states,2012080422,Group A,L
10,Rimantas Kaukenas,4.0,0,1,0,0,2,2,0,0,0,0,0,1,1,2,lithuania,2012-08-04,united states,2012080422,Group A,L
11,Totals,,38,65,7,16,11,15,5,33,21,3,1,23,28,94,lithuania,2012-08-04,united states,2012080422,Group A,L
