,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Viktor Khryapa,30.0,1,6,1,3,2,2,0,5,8,1,1,2,1,5,russia,2012-08-06,australia,2012080625,Group B,L
1,Anton Ponkrashov,27.0,2,4,1,2,1,2,0,1,4,0,0,1,3,6,russia,2012-08-06,australia,2012080625,Group B,L
2,Sasha Kaun,26.0,8,10,0,0,2,5,1,6,1,0,1,0,2,18,russia,2012-08-06,australia,2012080625,Group B,L
3,Andrei Kirilenko,26.0,4,9,1,1,4,5,2,6,2,2,1,3,1,13,russia,2012-08-06,australia,2012080625,Group B,L
4,Sergei Monia,21.0,1,3,0,1,0,0,0,0,1,3,1,1,0,2,russia,2012-08-06,australia,2012080625,Group B,L
5,Vitaly Fridzon,19.0,1,3,1,3,2,2,0,0,3,0,2,2,3,5,russia,2012-08-06,australia,2012080625,Group B,L
6,Alexey Shved,17.0,6,9,1,3,0,0,0,6,2,0,0,3,0,13,russia,2012-08-06,australia,2012080625,Group B,L
7,Semen Antonov,11.0,2,3,2,2,2,2,0,1,2,0,0,1,0,8,russia,2012-08-06,australia,2012080625,Group B,L
8,Timofey Mozgov,11.0,4,6,0,0,2,2,0,2,0,0,1,3,2,10,russia,2012-08-06,australia,2012080625,Group B,L
9,Evgeny Voronov,10.0,0,3,0,1,0,0,1,1,1,2,1,1,2,0,russia,2012-08-06,australia,2012080625,Group B,L
10,Dimitriy Khvostov,3.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,russia,2012-08-06,australia,2012080625,Group B,L
11,Totals,,29,56,7,16,15,20,4,28,25,8,8,18,15,80,russia,2012-08-06,australia,2012080625,Group B,L
0,David Andersen,33.0,5,18,3,8,0,0,2,5,3,1,0,3,3,13,australia,2012-08-06,russia,2012080625,Group B,L
1,Matthew Dellavedova,33.0,2,6,2,5,4,4,3,6,7,1,0,2,2,10,australia,2012-08-06,russia,2012080625,Group B,L
2,Joe Ingles,32.0,8,11,2,5,2,2,2,4,3,1,0,2,2,20,australia,2012-08-06,russia,2012080625,Group B,L
3,Patty Mills,31.0,5,16,3,10,0,0,1,3,3,1,1,4,2,13,australia,2012-08-06,russia,2012080625,Group B,L
4,Brad Newley,21.0,3,5,1,1,2,2,1,3,2,2,0,1,0,9,australia,2012-08-06,russia,2012080625,Group B,L
5,Matt Nielsen,17.0,2,6,0,0,0,0,1,5,1,1,1,2,3,4,australia,2012-08-06,russia,2012080625,Group B,L
6,Aleks Maric,15.0,4,7,0,0,0,0,1,4,1,0,0,0,1,8,australia,2012-08-06,russia,2012080625,Group B,L
7,Aron Baynes,11.0,2,3,0,0,1,1,0,1,0,1,0,0,3,5,australia,2012-08-06,russia,2012080625,Group B,L
8,Mark Worthington,6.0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,australia,2012-08-06,russia,2012080625,Group B,L
9,David Barlow,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,australia,2012-08-06,russia,2012080625,Group B,L
10,Totals,,31,74,11,30,9,9,11,32,20,8,2,14,18,82,australia,2012-08-06,russia,2012080625,Group B,L
