,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Andrei Kirilenko,39.0,5,8,0,1,9,12,5,13,3,3,3,1,2,19,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
1,Viktor Khryapa,31.0,4,7,2,4,2,2,0,6,8,0,0,1,4,12,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
2,Alexey Shved,29.0,2,12,0,5,0,4,0,2,6,0,0,4,4,4,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
3,Vitaly Fridzon,28.0,3,7,1,3,4,4,0,3,0,0,0,0,2,11,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
4,Timofey Mozgov,28.0,6,11,0,0,5,8,1,4,1,1,0,3,0,17,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
5,Sergei Monia,22.0,4,7,2,4,0,1,2,3,1,0,1,0,4,10,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
6,Anton Ponkrashov,17.0,3,8,0,0,2,2,0,0,5,0,0,0,3,8,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
7,Sasha Kaun,7.0,1,2,0,0,0,3,1,2,0,0,0,1,3,2,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
8,Semen Antonov,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
9,Totals,,28,62,5,17,22,36,9,33,24,4,4,10,23,83,russia,2012-08-08,lithuania,2012080832,Quarter-Finals,W
0,Linas Kleiza,24.0,1,7,0,0,2,4,0,7,3,0,0,1,4,4,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
1,Rimantas Kaukenas,23.0,6,12,3,5,4,4,1,2,3,0,0,2,5,19,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
2,Mantas Kalnietis,21.0,5,10,4,8,0,0,1,4,2,0,0,0,0,14,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
3,Darius Songaila,20.0,4,5,0,0,7,7,1,5,0,3,0,3,3,15,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
4,Sarunas Jasikevicius,19.0,1,4,1,1,0,0,0,2,3,0,0,6,1,3,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
5,Simas Jasaitis,19.0,1,4,0,3,0,0,0,5,0,0,0,0,3,2,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
6,Paulius Jankunas,17.0,1,4,0,0,2,2,0,2,0,0,0,1,3,4,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
7,Martynas Pocius,16.0,1,4,0,1,3,7,0,0,3,0,0,1,2,5,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
8,Jonas Valanciunas,16.0,2,4,0,0,3,4,2,9,0,0,1,0,3,7,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
9,Renaldas Seibutis,12.0,0,3,0,1,0,0,0,2,1,1,0,0,1,0,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
10,Jonas Maciulis,11.0,0,1,0,0,1,2,0,0,0,0,0,0,3,1,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
11,Antanas Kavaliauskas,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
12,Totals,,22,59,8,19,22,30,5,38,15,4,1,14,28,74,lithuania,2012-08-08,russia,2012080832,Quarter-Finals,L
