,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Ike Diogu,28.0,1,4,0,2,5,6,2,7,3,0,1,1,1,7,nigeria,2016-08-11,spain,2016081117,Group B,L
1,Champ Oguchi,27.0,7,12,7,12,3,3,1,3,4,2,0,3,2,24,nigeria,2016-08-11,spain,2016081117,Group B,L
2,Ben Uzoh,22.0,2,6,0,0,4,6,0,0,7,1,0,3,4,8,nigeria,2016-08-11,spain,2016081117,Group B,L
3,Josh Akognon,21.0,4,10,3,8,1,1,0,5,4,0,0,1,2,12,nigeria,2016-08-11,spain,2016081117,Group B,L
4,Ekene Ibekwe,21.0,4,9,1,5,2,3,1,5,0,0,3,1,4,11,nigeria,2016-08-11,spain,2016081117,Group B,L
5,Michael Umeh,19.0,2,5,1,3,0,0,0,2,1,0,0,2,2,5,nigeria,2016-08-11,spain,2016081117,Group B,L
6,Alade Aminu,18.0,4,7,0,1,1,2,1,4,0,1,2,1,5,9,nigeria,2016-08-11,spain,2016081117,Group B,L
7,Michael Gbinije,16.0,3,3,1,1,0,0,1,2,1,1,0,0,1,7,nigeria,2016-08-11,spain,2016081117,Group B,L
8,Ebi Ere,15.0,0,4,0,3,0,0,0,0,0,0,0,2,1,0,nigeria,2016-08-11,spain,2016081117,Group B,L
9,Andy Ogide,14.0,2,3,0,0,0,0,1,2,0,0,0,0,2,4,nigeria,2016-08-11,spain,2016081117,Group B,L
10,Totals,,29,63,13,35,16,21,7,30,20,5,6,14,24,87,nigeria,2016-08-11,spain,2016081117,Group B,L
0,Sergio Llull,29.0,2,5,1,3,4,4,1,2,5,0,0,2,3,9,spain,2016-08-11,nigeria,2016081117,Group B,L
1,Rudy Fernandez,26.0,4,9,3,7,2,5,1,5,2,2,0,0,2,13,spain,2016-08-11,nigeria,2016081117,Group B,L
2,Pau Gasol,23.0,7,15,0,1,2,3,3,7,3,0,2,2,3,16,spain,2016-08-11,nigeria,2016081117,Group B,L
3,Felipe Reyes,23.0,2,3,0,0,5,6,3,9,1,1,0,1,3,9,spain,2016-08-11,nigeria,2016081117,Group B,L
4,Ricky Rubio,22.0,5,11,0,4,5,5,1,4,4,1,0,1,2,15,spain,2016-08-11,nigeria,2016081117,Group B,L
5,Nikola Mirotic,17.0,2,3,1,2,2,2,1,5,2,1,0,2,1,7,spain,2016-08-11,nigeria,2016081117,Group B,L
6,Juan Carlos Navarro,17.0,4,9,3,5,0,0,0,0,1,0,0,0,1,11,spain,2016-08-11,nigeria,2016081117,Group B,L
7,Willy Hernangomez,16.0,5,6,0,0,1,1,0,3,0,0,0,0,3,11,spain,2016-08-11,nigeria,2016081117,Group B,L
8,Sergio Rodriguez,13.0,2,4,1,1,0,0,1,3,3,0,0,1,2,5,spain,2016-08-11,nigeria,2016081117,Group B,L
9,Victor Claver,7.0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,spain,2016-08-11,nigeria,2016081117,Group B,L
10,Jose Calderon,6.0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,spain,2016-08-11,nigeria,2016081117,Group B,L
11,Totals,,33,68,9,26,21,26,11,39,23,5,2,11,22,96,spain,2016-08-11,nigeria,2016081117,Group B,L
