year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2000,200009170,angola,2000-09-17,Group B,202,18,58,1,18,8,17,12,30,5,7,2,16,19,45,L,19,0.3103448275862069,0.05555555555555555,0.47058823529411764,65.48,0.3436163714111179,0.31896551724137934,19.6367206676485
2000,200009170,spain,2000-09-17,Group B,200,24,60,5,17,11,18,15,44,11,4,2,17,18,64,W,19,0.4,0.29411764705882354,0.6111111111111112,67.92,0.47114252061248524,0.44166666666666665,20.018841262364578
2000,200009171,australia,2000-09-17,Group B,200,33,58,9,18,15,19,7,20,15,2,3,13,25,90,L,11,0.5689655172413793,0.5,0.7894736842105263,66.36,0.6781193490054249,0.646551724137931,16.381048387096776
2000,200009171,canada,2000-09-17,Group B,199,35,62,8,16,23,27,8,24,18,1,3,12,20,101,W,11,0.5645161290322581,0.5,0.8518518518518519,73.88,0.6835408770979968,0.6290322580645161,13.972985561248255
2000,200009172,china,2000-09-17,Group A,200,22,62,8,27,20,25,6,24,14,4,3,15,24,72,L,47,0.3548387096774194,0.2962962962962963,0.8,73,0.4931506849315068,0.41935483870967744,17.045454545454547
2000,200009172,united states,2000-09-17,Group A,200,44,77,7,15,24,34,16,50,29,6,3,11,23,119,W,47,0.5714285714285714,0.4666666666666667,0.7058823529411765,91.96000000000001,0.6470204436711613,0.6168831168831169,10.683760683760683
2000,200009173,france,2000-09-17,Group A,200,25,48,6,14,20,29,3,27,20,11,3,12,23,76,W,26,0.5208333333333334,0.42857142857142855,0.6896551724137931,60.76,0.6254114549045425,0.5833333333333334,16.492578339747116
2000,200009173,new zealand,2000-09-17,Group A,203,15,56,2,15,18,25,14,35,10,5,1,15,23,50,L,26,0.26785714285714285,0.13333333333333333,0.72,67,0.373134328358209,0.2857142857142857,18.29268292682927
2000,200009174,italy,2000-09-17,Group A,201,15,46,5,20,15,18,7,28,8,3,3,12,24,50,W,2,0.32608695652173914,0.25,0.8333333333333334,53.92,0.46364985163204747,0.3804347826086957,18.203883495145632
2000,200009174,lithuania,2000-09-17,Group A,200,13,50,2,14,20,27,13,35,5,8,1,10,18,48,L,2,0.26,0.14285714285714285,0.7407407407407407,61.88,0.3878474466709761,0.28,13.912075681691709
2000,200009175,russia,2000-09-17,Group B,200,21,51,2,11,16,22,8,27,7,7,3,12,26,60,L,6,0.4117647058823529,0.18181818181818182,0.7272727272727273,60.68,0.4943968358602505,0.43137254901960786,16.510731975784257
2000,200009175,serbia and montenegro,2000-09-17,Group B,195,21,48,0,5,24,33,11,28,10,2,2,14,18,66,W,6,0.4375,0,0.7272727272727273,62.519999999999996,0.527831094049904,0.4375,18.295870360690017
